riasorr	i	1
eodonod	a	1
a,eodon	o	1
ßa,eodo	n	1
an√ßa,e	o	1
eran√ßa	,	1
esperan	√	1
dealnem	e	1
idealne	m	1
emideal	n	1
mesemid	e	1
e-mesem	i	1
se-mese	m	1
uiu-se-	m	1
onstrui	u	1
reconst	r	1
eounive	r	1
,eouniv	e	1
es!,eou	n	1
≥esteve	s	1
s√≥este	v	1
us√≥est	e	1
ealneme	s	1
lheadeu	s	1
ei-lhea	d	1
sgritei	-	1
eusgrit	e	1
eeviu-m	e	1
tevesvo	l	1
stevesv	o	1
todivin	o	1
intodiv	i	1
tintodi	v	1
stintod	i	1
nstinto	d	1
instint	o	1
itei-lh	e	1
minstin	t	1
ruminst	i	1
orumins	t	1
moporum	i	1
(odonod	a	1
ssemmet	a	1
evessem	m	1
©oestev	e	1
√©oeste	v	1
o:√©oes	t	1
√ßo-o:√	©	1
onhe√ßo	-	1
ah,conh	e	1
al√ßas?	)	1
cal√ßas	?	1
dascal√	ß	1
eiradas	c	1
beirada	s	1
gibeira	d	1
algibei	r	1
aalgibe	i	1
naalgib	e	1
roconaa	l	1
trocona	a	1
ndotroc	o	1
etendot	r	1
metendo	t	1
ia(mete	n	1
caria(m	e	1
udataba	c	1
emsaiud	a	1
omemsai	u	1
vou√†ja	n	1
.vou√†j	a	1
deira.v	o	1
edacade	i	1
nto-med	a	1
vanto-m	e	1
sto,lev	a	1
toisto,	l	1
stoisto	,	1
istoist	o	1
ssefeli	z	1
fossefe	l	1
zfossef	e	1
talvezf	o	1
avadeir	a	1
halavad	e	1
nhalava	d	1
minhala	v	1
adaminh	a	1
lhadami	n	1
afilhad	a	1
omafilh	a	1
secomaf	i	1
ssecoma	f	1
speran√	ß	1
sasseco	m	1
ucasass	e	1
seeucas	a	1
(seeuca	s	1
eifuman	d	1
areifum	a	1
uareifu	m	1
inuarei	f	1
tinuare	i	1
r,conti	n	1
mafilha	d	1
nceder,	c	1
onceder	,	1
omoconc	e	1
stinomo	c	1
